,US,AU,UK,Germany,Europe,Japan,Switzerland,HK
1/03/1976,1,1,1,1,1,1,1,1
1/04/1976,0.98900,1.02000,0.93700,1.00400,0.97279,1.00200,0.98100,0.94365
1/05/1976,1.03200,1.02800,0.92600,1.01000,0.96616,0.98100,1.01200,0.97141
1/06/1976,1.02600,1.12600,0.89600,1.04800,0.94945,0.93500,1.01300,0.95414
1/07/1976,1.02500,1.12000,0.85600,1.01500,0.92626,0.93000,1.01300,0.97817
1/08/1976,1.05000,1.03600,0.80800,1.03200,0.90462,0.87400,0.99600,0.96776
1/09/1976,1.03000,0.98300,0.73000,1.03100,0.84154,0.82400,0.95600,0.91386
1/10/1976,1.02500,0.94100,0.78000,0.99800,0.87163,0.79400,0.96700,0.94715
1/11/1976,1.07900,0.97600,0.92500,0.99300,0.93172,0.89000,1.03700,1.06220
1/12/1976,1.02600,0.99700,1.00800,1.12900,0.95096,0.87400,1.05300,1.02534
1/01/1977,1.00500,0.95700,1.03400,1.07700,0.95799,0.83800,1.04200,1.00121
1/02/1977,0.99300,1.00700,1.06100,1.10800,0.96076,0.75000,1.04700,0.97103
1/03/1977,0.99500,0.99400,1.09900,1.07500,0.99223,0.73500,1.05200,1.02782
1/04/1977,0.97600,1.04000,1.12700,1.09200,0.98560,0.77200,1.01100,1.00804
1/05/1977,1.02300,1.02700,1.15900,1.08400,0.99469,0.82100,1.02300,1.01558
1/06/1977,1.01000,0.96400,1.13000,1.08100,0.97811,0.79500,1.02100,0.96454
1/07/1977,0.99100,0.93100,1.26200,1.06500,1.02815,0.86000,1.05600,0.98599
1/08/1977,0.99100,0.93100,1.36500,1.12400,1.06852,0.91300,1.09600,0.96208
1/09/1977,0.94900,0.98000,1.32200,1.12200,1.06058,0.94200,1.08600,0.96024
1/10/1977,0.97400,0.95300,1.26400,1.08300,1.03913,0.90500,1.08900,0.96081
1/11/1977,0.97900,1.02600,1.28400,1.06300,1.04111,0.87600,1.08200,0.92550
1/12/1977,0.92100,0.98000,1.21800,1.04700,1.02791,0.83000,1.12500,0.92644
1/01/1978,0.90000,0.92800,1.16300,1.09600,1.00801,0.85300,1.08400,0.94233
1/02/1978,0.92100,0.97500,1.24500,1.12400,1.05221,1.03700,1.07600,1.03292
1/03/1978,1.00800,1.04500,1.26000,1.18200,1.05568,1.09500,1.03000,1.04011
1/04/1978,1.01200,1.10000,1.31500,1.17800,1.08588,1.15700,1.04300,1.06501
1/05/1978,0.99500,1.07900,1.27300,1.17900,1.07615,1.11600,1.05800,1.29268
1/06/1978,1.05500,1.14500,1.35200,1.18600,1.12486,1.24800,1.05000,1.36020
1/07/1978,1.08200,1.21900,1.38600,1.21400,1.14273,1.21500,1.05200,1.61313
1/08/1978,1.07600,1.26600,1.38000,1.19500,1.16162,1.38800,1.01500,1.51381
1/09/1978,0.98400,1.17900,1.33100,1.21300,1.11977,1.32000,0.98900,1.58283
1/10/1978,1.00300,1.16700,1.36500,1.21800,1.12576,1.29600,1.02300,1.15238
1/11/1978,1.02100,1.22400,1.34800,1.23700,1.12583,1.32800,1.05700,1.13305
1/12/1978,1.06600,1.29000,1.36700,1.27300,1.15585,1.32400,1.16900,1.25543
1/01/1979,1.02800,1.34100,1.46400,1.31000,1.16810,1.24500,1.15000,1.22028
1/02/1979,1.08600,1.36900,1.65200,1.26600,1.23637,1.31400,1.17000,1.25546
1/03/1979,1.08500,1.34300,1.74000,1.26400,1.26833,1.40000,1.18600,1.26489
1/04/1979,1.06300,1.37900,1.61000,1.29300,1.20789,1.32400,1.13900,1.32506
1/05/1979,1.10200,1.34100,1.54100,1.30000,1.19854,1.47700,1.14100,1.26599
1/06/1979,1.11300,1.37100,1.47700,1.29400,1.18905,1.47400,1.14900,1.43165
1/07/1979,1.16700,1.54100,1.53400,1.28500,1.22770,1.58000,1.17600,1.38224
1/08/1979,1.16400,1.64400,1.60100,1.30600,1.26492,1.75700,1.19200,1.63706
1/09/1979,1.08800,1.66800,1.51700,1.34900,1.20528,1.60300,1.16000,1.63157
1/10/1979,1.13100,1.62800,1.50000,1.32300,1.20310,1.65600,1.15100,1.83008
1/11/1979,1.14800,1.80400,1.47200,1.32800,1.19340,1.62600,1.15400,2.12166
1/12/1979,1.21600,2.17700,1.60300,1.35400,1.25277,1.76500,1.18000,2.19654
1/01/1980,1.20200,2.25300,1.68800,1.37700,1.28228,1.78300,1.14700,2.22626
1/02/1980,1.09400,1.87000,1.53700,1.38300,1.18022,1.61400,1.05300,1.88486
1/03/1980,1.14000,1.94200,1.58800,1.34100,1.22185,1.67800,1.08900,2.10393
1/04/1980,1.19300,2.16300,1.55800,1.38300,1.23302,1.76800,1.09300,2.16919
1/05/1980,1.23000,2.29200,1.73000,1.37500,1.29992,1.75900,1.12800,2.57092
1/06/1980,1.31000,2.30400,1.79200,1.38700,1.33415,1.70300,1.15700,2.86352
1/07/1980,1.31800,2.40800,1.80000,1.37300,1.33829,1.75300,1.16100,3.05240
1/08/1980,1.34900,2.53800,1.85100,1.40700,1.36594,1.76400,1.15700,3.03236
1/09/1980,1.38100,2.70300,1.97300,1.44100,1.43899,1.90100,1.17100,3.81458
1/10/1980,1.52400,2.64400,1.99700,1.48100,1.45026,1.89100,1.16500,3.68052
1/11/1980,1.46900,2.58700,1.88400,1.46400,1.39979,1.77500,1.17500,3.79373
1/12/1980,1.41300,2.33800,1.87600,1.47000,1.40096,1.69100,1.13600,4.08863
1/01/1981,1.44100,2.26600,1.95700,1.51300,1.45135,1.75900,1.16400,3.80715
1/02/1981,1.48700,2.48000,1.95200,1.51200,1.46009,1.81200,1.15800,3.48599
1/03/1981,1.45800,2.48800,2.11300,1.61800,1.52303,1.71800,1.13500,3.66755
1/04/1981,1.45200,2.49300,1.99600,1.76400,1.45163,1.38500,1.09100,4.36348
1/05/1981,1.44700,2.43000,2.03500,1.78700,1.47341,1.32200,1.12000,4.51992
1/06/1981,1.45500,2.18200,2.04900,1.86800,1.48621,1.45500,1.12100,4.41648
1/07/1981,1.37000,2.17500,2.15800,1.90100,1.53042,1.53300,1.09000,4.25701
1/08/1981,1.30400,1.98300,1.80500,1.89400,1.36425,1.51800,1.01100,3.19727
1/09/1981,1.36700,1.87200,1.87100,1.73200,1.38625,1.49200,1.01600,3.20606
1/10/1981,1.42500,2.02700,2.09500,1.73200,1.49377,1.57200,1.06500,3.63655
1/11/1981,1.38500,2.03800,2.07000,1.73800,1.47938,1.56300,1.06800,3.51208
1/12/1981,1.36700,1.87200,2.18800,1.80800,1.52943,1.68300,1.04800,3.54314
1/01/1982,1.29500,1.70100,2.09700,1.84400,1.51967,1.82000,1.04500,3.16205
1/02/1982,1.28600,1.60400,2.17700,1.75800,1.55050,1.74200,1.05900,2.91829
1/03/1982,1.34000,1.78600,2.20600,1.65900,1.56604,1.85100,1.06700,3.41060
1/04/1982,1.29400,1.78100,2.28900,1.71000,1.57644,1.84000,1.05500,3.69026
1/05/1982,1.27500,1.67100,2.20400,1.70400,1.51139,1.68400,1.01100,3.32343
1/06/1982,1.25100,1.65700,2.28100,1.66800,1.54307,1.64800,1.01100,3.11532
1/07/1982,1.40300,1.73900,2.35100,1.61900,1.57798,1.73700,1.03800,2.77358
1/08/1982,1.41900,1.80700,2.49000,1.64800,1.63548,1.70100,1.04800,2.49354
1/09/1982,1.57500,1.83000,2.56300,1.63300,1.68537,1.73500,1.11700,2.14422
1/10/1982,1.63500,1.76600,2.58300,1.69200,1.71501,1.75000,1.16000,1.97681
1/11/1982,1.66200,1.79000,2.61700,1.82100,1.76519,1.72900,1.21200,2.23000
1/12/1982,1.72700,1.99600,2.73000,1.88700,1.83733,1.84600,1.23800,2.52316
1/01/1983,1.76100,1.87000,2.75500,1.84100,1.91333,1.90400,1.28400,2.90688
1/02/1983,1.82100,1.93600,2.85500,1.85500,2.04399,2.07500,1.29200,2.82595
1/03/1983,1.96200,2.23900,3.09700,1.93500,2.17296,2.18700,1.34500,2.89485
1/04/1983,1.93000,2.35100,3.09700,1.96400,2.15231,2.27600,1.30800,2.61256
1/05/1983,2.00300,2.30100,3.26500,1.97900,2.24353,2.25500,1.33800,2.77203
1/06/1983,1.93600,2.57300,3.16900,2.04100,2.26168,2.33200,1.38400,3.08123
1/07/1983,1.97400,2.67400,3.19900,2.07700,2.26391,2.45700,1.35200,2.78337
1/08/1983,1.99700,2.73100,3.18800,2.09400,2.27074,2.53700,1.35700,2.20891
1/09/1983,1.97300,2.64000,3.13600,2.15400,2.27299,2.53500,1.41000,2.54027
1/10/1983,2.01400,2.88300,3.32700,2.12600,2.38423,2.70100,1.47500,2.51694
1/11/1983,2.00100,3.00400,3.37500,2.13200,2.43201,2.81800,1.56400,2.60119
1/12/1983,1.97700,2.93200,3.61700,2.28900,2.61005,3.06800,1.55300,3.32064
1/01/1984,1.89300,2.77900,3.54300,2.42500,2.52249,2.91300,1.52100,3.19243
1/02/1984,1.92600,2.88200,3.79900,2.40200,2.61496,2.96000,1.52800,3.08471
1/03/1984,1.94400,2.90800,3.90300,2.72000,2.67995,3.26300,1.58200,3.15689
1/04/1984,1.83300,2.49300,3.52300,2.69300,2.50067,3.16400,1.51400,2.84057
1/05/1984,1.87000,2.55600,3.62100,2.40900,2.54519,3.13300,1.50600,2.79868
1/06/1984,1.85400,2.65400,3.53000,2.47200,2.47101,2.90700,1.49300,2.50722
1/07/1984,2.05300,2.87200,3.88700,2.36700,2.67463,3.21600,1.56600,2.94483
1/08/1984,2.05400,2.88800,4.01900,2.54100,2.76656,3.34900,1.58600,3.17669
1/09/1984,2.06300,2.93600,4.09300,2.57100,2.79614,3.39500,1.60200,3.22746
1/10/1984,2.04100,2.92600,4.23000,2.69600,2.83210,3.38700,1.60800,3.59231
1/11/1984,2.09000,2.82400,4.44000,2.72800,2.92161,3.39300,1.64000,3.84320
1/12/1984,2.25600,3.03700,4.65800,2.87300,3.10910,3.60200,1.74700,4.40208
1/01/1985,2.28000,3.10800,4.59700,2.90100,3.12639,3.69700,1.74800,4.43441
1/02/1985,2.28400,3.27100,4.68900,3.04300,3.16616,3.83800,1.74800,4.43809
1/03/1985,2.27700,3.50400,4.75800,3.11800,3.24642,3.94700,1.81100,4.88376
1/04/1985,2.41600,3.50900,4.88400,3.01200,3.37679,4.26300,1.87900,5.15193
1/05/1985,2.44900,3.47200,4.59500,3.11800,3.34180,4.06800,1.99200,5.09379
1/06/1985,2.43900,3.77400,4.74300,3.21100,3.37141,3.83000,2.02900,5.45273
1/07/1985,2.41500,3.77100,5.09400,3.06800,3.57214,3.99500,2.13700,5.38940
1/08/1985,2.33600,4.01700,4.88800,3.14900,3.53993,3.76900,2.04100,4.95929
1/09/1985,2.44000,4.17400,5.27500,3.17600,3.83364,3.99600,2.27600,5.47473
1/10/1985,2.60800,4.01400,5.52600,3.19200,4.00618,4.49100,2.45600,5.66372
1/11/1985,2.74000,4.08800,5.46000,3.09900,4.18514,4.84100,2.69200,5.81853
1/12/1985,2.75400,4.39500,5.57800,3.25900,4.22372,5.10700,2.55500,5.69071
1/01/1986,2.96000,4.23500,6.04000,3.21900,4.45527,5.61500,2.49800,5.73643
1/02/1986,3.12300,4.59300,6.54500,3.35800,4.96644,6.51000,2.69800,5.56582
1/03/1986,3.07700,4.90400,6.57400,4.02900,5.11282,7.07300,2.70900,6.28702
1/04/1986,3.22600,5.08900,6.35100,3.94100,4.94272,6.51200,2.68800,6.15119
1/05/1986,3.26500,4.82600,6.58500,4.06700,4.90456,6.53300,2.64000,5.99685
1/06/1986,3.08800,4.58400,6.19500,4.21200,4.77065,7.04500,2.43200,6.46636
1/07/1986,3.31400,4.80200,6.59500,4.47300,5.22287,7.64600,2.69000,6.70356
1/08/1986,3.02900,5.05900,6.20900,4.89500,4.92769,7.03300,2.58300,7.25421
1/09/1986,3.19800,5.59200,6.52800,5.01300,5.08545,7.14000,2.72000,8.17019
1/10/1986,3.27100,5.59300,6.61900,4.60500,5.16841,7.36300,2.81300,8.45879
1/11/1986,3.18500,5.97000,6.78800,4.85600,5.20873,7.36100,2.82100,9.06873
1/12/1986,3.60600,6.07000,7.39600,5.14100,5.22963,7.74900,2.72700,9.11853
1/01/1987,3.73200,6.65800,8.08600,5.74800,5.34666,7.88300,2.61700,10.40879
1/02/1987,3.83000,7.06200,8.17900,5.82100,5.48152,8.25900,2.65900,9.91508
1/03/1987,3.79200,7.33800,8.43100,6.15900,5.59604,8.27200,2.58200,9.59267
1/04/1987,3.81100,7.48200,9.08300,6.86000,5.66911,7.92700,2.54900,10.78037
1/05/1987,4.00500,7.55400,9.47700,6.99800,5.86197,7.45800,2.69100,11.78863
1/06/1987,4.19200,8.66300,9.80100,6.61000,6.14480,7.73300,2.91800,12.93456
1/07/1987,4.35500,9.28700,9.36100,6.50700,6.04708,7.97700,2.91400,13.50905
1/08/1987,4.25900,9.68900,9.89000,6.93200,6.15299,7.55700,3.03500,14.59367
1/09/1987,3.35200,5.68300,7.32500,6.88900,4.71373,5.90500,2.32900,8.24816
1/10/1987,3.06500,5.92200,6.58400,6.01900,4.25712,5.51400,2.06900,7.97108
1/11/1987,3.27800,6.00200,7.22400,5.98100,4.36975,5.27700,2.00500,8.66018
1/12/1987,3.41500,5.74100,7.60500,5.56200,4.43582,4.72900,2.01800,8.92461
1/01/1988,3.55500,5.71200,7.54100,6.16300,4.70821,5.77900,2.18000,9.15326
1/02/1988,3.43300,6.49600,7.43100,6.66000,4.66776,5.34300,2.10700,9.70733
1/03/1988,3.46100,6.74100,7.66000,6.92500,4.78823,5.87100,2.13400,9.96594
1/04/1988,3.48800,7.31700,7.59600,7.03400,4.81568,6.39700,2.13400,9.69047
1/05/1988,3.64700,7.19400,7.92600,6.72500,5.07943,6.83900,2.26200,10.47043
1/06/1988,3.63200,7.49800,7.98300,6.90900,5.15998,6.82900,2.28700,10.64038
1/07/1988,3.50700,7.31800,7.58500,7.17200,4.99571,6.68100,2.27700,9.77446
1/08/1988,3.65300,7.26300,7.92200,6.82300,5.25770,7.34300,2.36100,9.86372
1/09/1988,3.76200,7.42000,8.11700,7.01300,5.43818,7.74700,2.45100,10.63109
1/10/1988,3.70000,6.81100,7.89400,7.06400,5.34735,7.74100,2.43200,10.97046
1/11/1988,3.75700,6.92400,7.92100,7.50200,5.48458,8.23500,2.50500,11.16410
1/12/1988,4.04000,7.25500,9.08600,7.72800,5.91855,8.71900,2.57700,12.71749
1/01/1989,3.91500,6.87000,8.89900,8.04300,5.78426,8.31700,2.56300,12.60986
1/02/1989,3.99900,6.83400,9.25700,7.99700,6.03805,8.67000,2.71500,12.61680
1/03/1989,4.21300,7.13000,9.40800,8.07100,6.19590,8.98500,2.82000,13.17963
1/04/1989,4.37200,7.34700,9.41100,8.08300,6.25015,9.24600,2.71600,11.67390
1/05/1989,4.35200,7.37500,9.57100,8.20800,6.44179,9.25500,3.02400,9.59964
1/06/1989,4.74700,8.01100,10.28100,7.85800,6.82083,9.81900,3.28200,10.90377
1/07/1989,4.81500,8.59300,10.62200,8.47700,7.07708,10.18400,3.43900,10.57304
1/08/1989,4.80100,8.46200,10.26700,8.32800,6.95274,10.36200,3.30900,11.87737
1/09/1989,4.68800,8.03500,9.52200,8.55300,6.49140,9.71200,3.12100,11.81357
1/10/1989,4.78100,7.84600,10.11700,8.51400,6.77573,10.08500,3.25300,11.92856
1/11/1989,4.88500,8.17900,10.82000,8.95000,7.20261,10.69900,3.24200,12.09623
1/12/1989,4.56400,8.33400,10.45500,9.00500,7.03355,10.05300,3.13800,11.74172
1/01/1990,4.62800,7.84500,10.13400,8.49300,6.86671,9.81400,3.13200,12.68913
1/02/1990,4.73300,7.71800,10.11400,7.84700,7.03411,10.41700,3.04900,12.97987
1/03/1990,4.63300,7.22600,9.48800,6.70700,6.78486,10.88800,2.90900,12.86327
1/04/1990,5.05700,7.69700,10.62500,6.82800,7.29112,11.23200,3.31700,13.82046
1/05/1990,5.03500,7.79200,10.82100,7.48400,7.36085,10.83500,3.35100,14.42075
1/06/1990,5.02300,8.18200,10.61300,7.09800,7.29693,10.43800,3.25600,15.14418
1/07/1990,4.56000,7.84400,9.87400,6.75200,6.48421,9.01300,2.80400,13.43263
1/08/1990,4.34400,7.28300,9.09000,5.97800,5.72629,7.99600,2.46000,11.95626
1/09/1990,4.32700,6.95900,9.46400,4.80400,6.02149,8.61900,2.58900,13.06164
1/10/1990,4.60700,7.06600,9.98600,5.60700,6.05592,8.49700,2.52200,13.03934
1/11/1990,4.73100,6.90100,9.98200,5.06900,5.98813,8.13700,2.52200,13.19671
1/12/1990,4.95300,7.20000,10.18000,5.40800,6.10283,8.36000,2.63400,14.19460
1/01/1991,5.29100,7.70500,11.26600,5.38900,6.79977,9.39400,2.92900,15.62399
1/02/1991,5.41600,7.93100,11.69400,6.10000,7.00121,9.68000,3.05900,16.59392
1/03/1991,5.43300,8.49600,11.81100,6.06500,7.06595,9.57000,3.10500,16.16488
1/04/1991,5.65500,8.45100,11.88800,6.04800,7.27255,9.94600,3.25100,16.74065
1/05/1991,5.39200,8.46400,11.47900,6.07600,7.01114,9.42100,3.11100,16.75383
1/06/1991,5.64000,8.88300,12.35300,5.61900,7.23973,9.50100,3.22900,18.32352
1/07/1991,5.77300,8.74000,12.68400,5.78600,7.37097,10.07300,3.23200,18.35244
1/08/1991,5.67000,8.90400,12.64600,5.43600,7.27066,10.20800,3.10500,18.06372
1/09/1991,5.76400,9.62900,12.42200,5.73400,7.17807,10.15200,3.14600,18.41470
1/10/1991,5.52700,9.06200,11.67100,5.90600,6.86646,9.61300,3.03900,18.93528
1/11/1991,6.15400,9.36900,11.96200,5.43500,6.95017,9.77000,3.11200,19.69261
1/12/1991,6.04700,9.21900,12.38000,5.38300,7.30905,10.35000,3.29900,21.45992
1/01/1992,6.11200,9.24700,12.43700,5.14600,7.46416,10.93500,3.44300,23.21696
1/02/1992,5.99400,9.12100,11.88000,4.86200,7.26404,10.81800,3.42100,23.17423
1/03/1992,6.16500,9.59800,13.04400,4.46400,7.62768,11.39100,3.51300,25.07278
1/04/1992,6.18600,9.73800,13.36200,4.19400,7.80823,11.47900,3.62500,28.66598
1/05/1992,6.08700,9.54000,12.36800,4.33500,7.31914,10.75500,3.53000,29.01824
1/06/1992,6.33700,9.35800,11.77800,3.88200,6.89151,10.01700,3.43500,27.72988
1/07/1992,6.18000,8.97200,11.36600,3.87100,6.59733,9.72000,3.34000,26.47017
1/08/1992,6.24300,8.61700,12.46900,4.40500,6.83760,9.98300,3.54300,26.26839
1/09/1992,6.27600,8.29600,13.03400,4.18500,7.06709,10.03100,3.59600,29.63249
1/10/1992,6.48000,8.51300,13.68500,4.10300,7.37040,10.23200,3.62100,27.44974
1/11/1992,6.54700,9.21100,14.20300,4.25100,7.60319,10.67300,3.92800,25.90815
1/12/1992,6.60000,9.04900,14.11200,4.18900,7.65957,10.25500,3.94400,26.98350
1/01/1993,6.68200,9.52000,14.45600,4.17000,8.03589,11.43800,4.00200,29.76578
1/02/1993,6.81500,9.75500,14.64200,4.11400,8.17121,11.72000,4.17700,29.85770
1/03/1993,6.66100,9.78900,14.44800,4.56700,8.08082,11.28200,4.10000,32.13896
1/04/1993,6.82600,10.03400,14.63600,5.19000,8.20933,11.04300,4.39000,34.87611
1/05/1993,6.84300,10.00700,14.99000,5.14700,8.47688,11.53700,4.61400,33.72109
1/06/1993,6.83100,10.59600,15.23900,5.00200,8.80538,12.24500,4.68500,33.14962
1/07/1993,7.07300,11.33300,16.19100,5.26300,9.37808,13.04700,4.86100,35.53261
1/08/1993,6.99900,11.49400,15.92600,5.38100,9.17412,12.54700,4.84700,36.21586
1/09/1993,7.11700,12.40000,16.66200,5.17400,9.74560,13.06100,5.31100,44.58875
1/10/1993,7.06500,11.73600,16.73900,5.27100,9.64534,12.75800,5.38200,43.94342
1/11/1993,7.14600,12.64400,18.09800,4.42400,10.42599,13.79700,5.79700,56.04060
1/12/1993,7.40100,13.39400,18.66600,4.66900,10.86786,14.37300,6.25200,53.91334
1/01/1994,7.18900,12.64900,17.89500,5.29300,10.40113,13.82300,5.73000,48.28722
1/02/1994,6.87300,11.91800,16.71500,5.28600,9.97203,12.96100,5.58600,43.09345
1/03/1994,6.96700,12.13400,16.96000,4.98900,10.25777,13.48400,5.50100,43.25708
1/04/1994,7.07900,12.28700,16.12100,5.13600,9.80135,12.71300,5.48800,46.25714
1/05/1994,6.87600,11.77500,15.84500,5.40900,9.44104,11.87200,5.28600,42.52760
1/06/1994,7.10400,12.23500,16.77200,5.34800,9.94530,12.97100,5.19200,45.89808
1/07/1994,7.38000,12.71900,17.73300,5.23300,10.21755,12.97500,5.34700,48.51741
1/08/1994,7.22000,12.10800,16.48000,5.26600,9.58841,11.85600,5.14200,46.44725
1/09/1994,7.38200,12.40400,16.86700,5.07200,9.72127,11.97500,5.07000,46.79778
1/10/1994,7.12600,11.52400,16.80900,5.10200,9.76066,12.35700,5.24000,41.14891
1/11/1994,7.22700,11.66300,16.83600,4.94300,9.74953,11.82400,5.29000,39.89404
1/12/1994,7.42300,11.22600,16.34100,5.03900,9.51914,11.37800,5.11500,35.20915
1/01/1995,7.71200,11.89500,16.51000,4.70300,9.60218,11.32400,5.27300,40.57649
1/02/1995,7.91500,11.83500,17.22600,4.37300,9.55350,11.94000,5.09000,41.61774
1/03/1995,8.16000,12.73200,17.68000,4.28300,9.95789,12.34200,5.26000,40.47902
1/04/1995,8.47500,12.58100,18.32800,4.36600,10.30145,12.63900,5.62900,45.78819
1/05/1995,8.68000,12.63100,18.32100,4.12300,10.27402,12.11800,5.71800,45.06346
1/06/1995,8.97100,13.23900,19.23500,3.93600,10.71311,12.47900,5.74700,45.98053
1/07/1995,8.96900,13.24000,19.40000,4.40400,10.78469,12.35100,5.89700,44.47780
1/08/1995,9.36700,13.12300,19.56200,4.70100,10.79591,11.79000,6.10500,47.08249
1/09/1995,9.35900,12.69700,19.60100,4.78700,10.68258,11.92900,6.29200,47.18573
1/10/1995,9.76700,13.25800,20.34400,4.68100,11.01474,12.08000,6.58000,47.33570
1/11/1995,9.91100,13.52200,20.57300,4.92100,11.22032,12.36500,6.70300,48.86646
1/12/1995,10.26100,13.91100,21.10700,5.25400,11.69799,13.43900,6.62500,55.16349
1/01/1996,10.36500,13.97800,21.00300,5.37200,11.75057,13.41100,6.85300,54.54319
1/02/1996,10.46600,13.60300,20.94800,5.18800,11.90821,13.80200,7.40200,54.60619
1/03/1996,10.61700,14.19800,21.72500,5.47300,12.32355,14.44800,7.43700,54.75001
1/04/1996,10.89700,13.87300,21.28600,5.67100,12.27473,14.28600,7.23100,56.40797
1/05/1996,10.95700,13.60900,21.10300,5.54900,12.35772,14.46300,7.58600,55.12355
1/06/1996,10.47100,13.21000,21.20500,5.65800,11.95547,13.64800,7.10800,52.56325
1/07/1996,10.70200,13.72900,22.21900,5.25600,12.31579,13.52300,7.42000,54.27991
1/08/1996,11.29800,13.74100,22.72700,5.10700,12.80452,14.56500,7.57900,57.98641
1/09/1996,11.58300,14.23600,22.85400,5.43200,12.86928,14.72000,7.58700,60.42029
1/10/1996,12.45400,14.42800,23.41000,5.17200,13.54481,15.84800,7.91700,65.36635
1/11/1996,12.21500,14.75300,23.78300,5.27200,13.78159,15.93000,8.00000,65.05316
1/12/1996,13.04800,14.74700,24.65100,5.00300,14.69312,17.31900,8.73300,63.77083
1/01/1997,13.13600,14.90100,24.97100,4.66100,15.13537,17.94100,9.16300,63.62588
1/02/1997,12.54400,14.70100,25.07300,4.74100,15.45944,18.27200,9.46900,59.44473
1/03/1997,13.36700,15.14200,25.83900,4.72200,15.80460,18.17500,9.91900,60.39755
1/04/1997,14.12000,15.83100,26.79900,5.01300,16.23709,17.79300,10.23400,68.04601
1/05/1997,14.76000,16.61200,26.71000,5.10900,17.17904,19.63900,11.40700,71.51887
1/06/1997,15.92300,16.57300,28.41800,5.39000,18.67990,21.07200,12.00800,75.94052
1/07/1997,14.97400,15.65500,28.22400,5.40500,17.44111,19.07500,10.69000,66.04137
1/08/1997,15.75300,16.63800,30.79300,5.01300,18.88710,20.63000,11.53200,70.12920
1/09/1997,15.31900,14.78400,28.53800,4.96700,17.41480,18.67800,11.02100,49.82890
1/10/1997,16.05800,14.90800,28.54400,4.48400,17.94574,19.56100,11.60500,49.16807
1/11/1997,16.29100,16.10600,30.33200,4.46400,19.01430,20.63700,12.53600,49.99194
1/12/1997,16.49800,16.32300,32.00700,4.28600,20.07224,21.74900,13.16500,42.97266
1/01/1998,17.65100,16.70800,33.98700,4.55000,21.49852,23.45100,14.33700,51.51082
1/02/1998,18.56300,17.21600,35.18300,4.55500,23.22692,26.52000,15.21400,50.48157
1/03/1998,18.77700,17.25100,35.31400,4.50000,23.23372,26.59600,14.89100,45.13014
1/04/1998,18.39600,16.92400,34.87100,4.43800,23.77549,27.81500,15.30900,38.98798
1/05/1998,19.18300,17.15400,34.60600,4.39600,24.11039,28.76600,15.70700,36.91999
1/06/1998,18.98900,17.38400,34.58800,4.46300,24.48420,28.64400,16.56200,34.18020
1/07/1998,16.34200,15.94900,31.34400,4.57900,21.11811,25.14900,13.55400,31.90211
1/08/1998,17.41200,16.42700,30.25500,3.96500,19.48099,22.28700,11.84700,37.13961
1/09/1998,18.75500,16.97400,32.57400,3.72900,20.98618,24.37900,13.27100,49.46407
1/10/1998,20.02400,17.83900,34.52600,3.72500,22.55103,26.44200,14.31000,49.36191
